Model,Accuracy,Precision (macro),Recall (macro),F1 (macro),ROC-AUC (OvR macro)
Logistic Regression,0.99,0.9761904761904763,0.9929078014184397,0.9840700915969732,0.9998661849324234
SVM,0.99,0.9761904761904763,0.9929078014184397,0.9840700915969732,0.9997857302498839
XGBoost,0.875,0.8858395989974938,0.8222926895799235,0.8467279417028161,0.9660493048330903
Random Forest,0.82,0.8407139023081052,0.8049031642116748,0.8189668850462638,0.9500268372566231
Decision Tree,0.715,0.7059661471426177,0.6995090016366611,0.7016579911316754,0.7685971235321309
