Model Family,Unweighted Acc,Unweighted Macro-F1,Unweighted Low-F1,Weighted Acc,Weighted Macro-F1,Weighted Low-F1
Logistic Regression,0.985,0.9751011515717397,0.9411764705882353,0.99,0.9840700915969732,0.9629629629629629
Decision Tree,0.77,0.7756876817474808,0.7924528301886793,0.715,0.7016579911316754,0.6538461538461539
Random Forest,0.835,0.8051504600427243,0.7142857142857143,0.82,0.8189668850462638,0.8163265306122449
SVM,0.9,0.8750942479736685,0.7916666666666666,0.99,0.9840700915969732,0.9629629629629629
XGBoost,0.875,0.8545851541339219,0.7906976744186046,0.875,0.8467279417028161,0.7555555555555555
