,0
blood_sugar_mg_dl,4.2848797948162805
cholesterol_mg_dl,4.00130902384669
age,3.656432838033514
bmi,3.4692644782442175
previous_admissions,2.34033105950685
systolic_bp,1.8857232717002061
bmi_category_Normal,0.38782883108916666
bmi_category_Obese,0.3572849860100129
age_group_65+,0.14047625452519757
bp_category_Stage 1 Hypertension,0.13442868199283098
bmi_category_Underweight,0.10191534155481903
age_group_18-35,0.0933003580452867
age_group_51-65,0.08228184162551354
bp_category_Normal,0.07254635767242104
age_group_Under 18,0.024697791889469637
